Occurrence,Entry,Stop_Loss,Take_Profit,Result,Balance,Symbol
2024-01-01 18:05:00,6845.95,6851.898799999999,6816.206000000004,SL,485,Volatility 10 Index
2024-01-02 03:20:00,6855.628,6869.4,6786.768,SL,470,Volatility 10 Index
2024-01-05 15:30:00,6843.722,6849.3375,6815.6445,TP,545,Volatility 10 Index
2024-01-07 05:15:00,6786.872,6794.7689,6747.387500000002,SL,530,Volatility 10 Index
2024-01-09 16:55:00,6800.672,6804.845399999999,6779.805000000001,TP,605,Volatility 10 Index
2024-01-10 08:30:00,6813.483,6819.989500000001,6780.950499999998,SL,590,Volatility 10 Index
2024-01-12 00:30:00,6866.802,6875.2896,6824.363999999998,SL,575,Volatility 10 Index
2024-01-14 01:10:00,6929.433,6938.9953000000005,6881.6214999999975,SL,560,Volatility 10 Index
2024-01-15 08:00:00,6923.392,6929.1923,6894.3905,Pending,560,Volatility 10 Index
2024-01-17 05:25:00,6917.555,6923.3003,6888.828500000002,Pending,560,Volatility 10 Index
2024-01-18 02:30:00,6894.88,6899.7167,6870.696500000001,TP,635,Volatility 10 Index
2024-01-21 11:35:00,6797.474,6802.3052,6773.318000000002,SL,620,Volatility 10 Index
2024-01-21 20:15:00,6789.756,6793.633500000001,6770.368499999998,SL,605,Volatility 10 Index
2024-01-22 07:40:00,6807.677,6814.239599999999,6774.864000000003,SL,590,Volatility 10 Index
2024-01-24 19:50:00,6770.078,6776.976100000001,6735.587499999999,SL,575,Volatility 10 Index
2024-01-24 21:05:00,6764.252,6770.5209,6732.9075,TP,650,Volatility 10 Index
2024-01-24 23:50:00,6747.418,6756.913199999999,6699.942000000003,SL,635,Volatility 10 Index
2024-01-26 23:35:00,6756.509,6768.232800000001,6697.889999999997,TP,710,Volatility 10 Index
2024-01-27 17:10:00,6741.679,6747.1801000000005,6714.173499999998,SL,695,Volatility 10 Index
2024-01-28 12:40:00,6706.419,6717.9184,6648.922000000001,SL,680,Volatility 10 Index
2024-01-31 17:05:00,6758.588,6768.6915,6708.070499999999,SL,665,Volatility 10 Index
2024-02-01 07:50:00,6725.239,6728.753499999999,6707.666500000003,SL,650,Volatility 10 Index
2024-02-02 00:30:00,6703.12,6708.2328,6677.5560000000005,SL,635,Volatility 10 Index
2024-02-02 18:35:00,6668.093,6672.933000000001,6643.892999999995,TP,710,Volatility 10 Index
2024-02-02 19:40:00,6663.551,6668.567,6638.471000000002,SL,695,Volatility 10 Index
2024-02-02 21:30:00,6643.602,6648.5421,6618.901500000001,SL,680,Volatility 10 Index
2024-02-06 08:45:00,6789.307,6795.9235,6756.224499999999,SL,665,Volatility 10 Index
2024-02-06 11:25:00,6779.413,6785.759999999999,6747.678000000001,TP,740,Volatility 10 Index
2024-02-08 23:30:00,6750.492,6755.9568,6723.1680000000015,SL,725,Volatility 10 Index
2024-02-09 11:15:00,6758.832,6771.116800000001,6697.4079999999985,SL,710,Volatility 10 Index
2024-02-11 11:40:00,6821.466,6824.6989,6805.3015000000005,SL,695,Volatility 10 Index
2024-02-11 21:50:00,6836.34,6841.018300000001,6812.948499999998,SL,680,Volatility 10 Index
2024-02-13 01:50:00,6837.897,6848.501,6784.876999999999,SL,665,Volatility 10 Index
2024-02-14 05:50:00,6825.814,6836.612700000001,6771.820499999999,SL,650,Volatility 10 Index
2024-02-16 21:10:00,6828.048,6839.9445,6768.565500000001,Pending,650,Volatility 10 Index
2024-02-16 22:20:00,6834.504,6842.1611,6796.218499999998,Pending,650,Volatility 10 Index
2024-02-18 11:50:00,6775.797,6779.8098,6755.732999999997,TP,725,Volatility 10 Index
2024-02-25 05:15:00,6741.907,6754.680200000001,6678.040999999997,SL,710,Volatility 10 Index
