time,Open,High,Low,Close,Volume,spread,Volume
2026-04-30 23:00:00,4933.937,4935.425,4933.571,4934.009,150,160,0
2026-04-30 23:05:00,4933.925,4934.222,4932.738,4933.924,149,160,0
2026-04-30 23:10:00,4934.063,4934.093,4931.601,4932.125,149,160,0
2026-04-30 23:15:00,4932.06,4934.122,4932.008,4933.282,150,160,0
2026-04-30 23:20:00,4933.228,4935.928,4932.591,4932.834,150,160,0
2026-04-30 23:25:00,4932.579,4933.244,4931.186,4931.827,150,160,0
2026-04-30 23:30:00,4931.812,4931.965,4929.361,4930.411,150,160,0
2026-04-30 23:35:00,4930.55,4931.247,4928.318,4931.157,150,160,0
2026-04-30 23:40:00,4931.135,4931.475,4929.864,4930.133,150,160,0
2026-04-30 23:45:00,4929.887,4933.548,4929.887,4933.548,150,160,0
2026-04-30 23:50:00,4933.47,4935.273,4933.47,4935.273,149,160,0
2026-04-30 23:55:00,4935.392,4935.685,4934.387,4935.427,149,160,0
2026-05-01 00:00:00,4935.325,4937.638,4935.212,4937.638,150,160,0
2026-05-01 00:05:00,4937.69,4937.8,4935.468,4935.967,150,160,0
2026-05-01 00:10:00,4935.841,4937.362,4935.579,4936.534,148,160,0
2026-05-01 00:15:00,4936.493,4936.878,4934.559,4935.297,148,160,0
2026-05-01 00:20:00,4935.251,4936.938,4934.555,4936.66,150,160,0
2026-05-01 00:25:00,4936.579,4936.702,4934.908,4936.224,150,160,0
2026-05-01 00:30:00,4936.213,4938.668,4935.357,4938.317,149,160,0
2026-05-01 00:35:00,4938.34,4941.719,4937.832,4940.565,150,160,0
2026-05-01 00:40:00,4940.487,4940.487,4938.652,4939.813,150,160,0
2026-05-01 00:45:00,4939.899,4941.242,4938.879,4941.242,150,160,0
2026-05-01 00:50:00,4941.481,4941.806,4939.887,4940.753,148,160,0
2026-05-01 00:55:00,4940.817,4940.951,4939.103,4940.491,150,160,0
2026-05-01 01:00:00,4940.49,4940.775,4939.65,4940.515,150,160,0
2026-05-01 01:05:00,4940.41,4942.695,4940.41,4942.29,149,160,0
2026-05-01 01:10:00,4942.235,4942.235,4939.836,4940.307,149,160,0
2026-05-01 01:15:00,4940.258,4942.985,4939.891,4942.751,150,160,0
2026-05-01 01:20:00,4942.598,4943.431,4942.353,4942.865,150,160,0
2026-05-01 01:25:00,4942.746,4943.738,4942.005,4942.612,149,160,0
2026-05-01 01:30:00,4942.614,4945.057,4942.543,4944.415,150,160,0
2026-05-01 01:35:00,4944.359,4945.219,4943.484,4944.843,150,160,0
2026-05-01 01:40:00,4944.837,4945.725,4943.884,4944.859,149,160,0
2026-05-01 01:45:00,4944.823,4945.436,4943.185,4943.831,150,160,0
2026-05-01 01:50:00,4943.897,4944.18,4942.475,4942.521,150,160,0
2026-05-01 01:55:00,4942.751,4943.263,4940.867,4943.016,150,160,0
2026-05-01 02:00:00,4943.143,4944.82,4941.836,4944.82,149,160,0
2026-05-01 02:05:00,4944.796,4946.813,4944.222,4945.63,149,160,0
2026-05-01 02:10:00,4945.723,4947.064,4945.199,4945.909,150,160,0
2026-05-01 02:15:00,4946.134,4946.196,4943.99,4945.108,150,160,0
2026-05-01 02:20:00,4944.999,4945.64,4944.06,4945.267,149,160,0
2026-05-01 02:25:00,4945.451,4948.01,4944.825,4947.864,150,160,0
2026-05-01 02:30:00,4947.842,4947.958,4946.351,4947.475,148,160,0
2026-05-01 02:35:00,4947.591,4947.871,4945.457,4945.524,150,160,0
2026-05-01 02:40:00,4945.612,4946.989,4945.176,4946.989,149,160,0
2026-05-01 02:45:00,4946.807,4948.798,4946.155,4948.253,150,160,0
2026-05-01 02:50:00,4948.209,4948.209,4945.89,4946.757,150,160,0
2026-05-01 02:55:00,4946.76,4948.306,4946.519,4946.895,150,160,0
2026-05-01 03:00:00,4946.84,4947.24,4945.194,4945.208,150,160,0
2026-05-01 03:05:00,4945.27,4945.672,4942.987,4943.316,149,160,0
2026-05-01 03:10:00,4943.312,4944.394,4942.804,4943.08,148,160,0
2026-05-01 03:15:00,4943.171,4943.914,4941.911,4942.996,150,160,0
2026-05-01 03:20:00,4942.965,4944.843,4942.849,4943.773,150,160,0
2026-05-01 03:25:00,4943.94,4946.311,4943.042,4945.675,150,160,0
2026-05-01 03:30:00,4945.603,4947.641,4944.56,4944.56,150,160,0
2026-05-01 03:35:00,4944.523,4945.104,4942.909,4943.278,150,160,0
2026-05-01 03:40:00,4943.56,4943.849,4942.045,4942.747,150,160,0
2026-05-01 03:45:00,4942.824,4943.222,4941.094,4942.566,150,160,0
2026-05-01 03:50:00,4942.524,4942.813,4940.252,4941.565,149,160,0
2026-05-01 03:55:00,4941.657,4942.988,4941.195,4942.624,149,160,0
2026-05-01 04:00:00,4942.689,4944.053,4942.181,4942.699,150,160,0
2026-05-01 04:05:00,4942.988,4945.103,4942.593,4944.895,150,160,0
2026-05-01 04:10:00,4944.948,4946.506,4943.352,4945.763,149,160,0
2026-05-01 04:15:00,4945.782,4945.902,4942.633,4943.603,150,160,0
2026-05-01 04:20:00,4943.782,4943.874,4942.148,4943.122,150,160,0
2026-05-01 04:25:00,4943.121,4945.56,4943.121,4945.523,149,160,0
2026-05-01 04:30:00,4945.793,4947.097,4945.11,4945.879,150,160,0
2026-05-01 04:35:00,4945.953,4946.069,4942.657,4943.85,150,160,0
2026-05-01 04:40:00,4943.784,4945.554,4943.277,4944.615,150,160,0
2026-05-01 04:45:00,4944.635,4945.836,4944.122,4944.848,150,160,0
2026-05-01 04:50:00,4944.921,4947.195,4944.722,4946.46,150,160,0
2026-05-01 04:55:00,4946.457,4949.327,4946.457,4948.749,150,160,0
2026-05-01 05:00:00,4948.686,4948.782,4947.252,4948.27,148,160,0
2026-05-01 05:05:00,4948.349,4948.854,4947.163,4947.83,149,160,0
2026-05-01 05:10:00,4947.88,4948.095,4946.027,4946.027,150,160,0
2026-05-01 05:15:00,4946.035,4946.634,4944.578,4945.745,150,160,0
2026-05-01 05:20:00,4945.905,4946.358,4944.635,4945.225,149,160,0
2026-05-01 05:25:00,4945.16,4947.092,4944.421,4946.788,149,160,0
2026-05-01 05:30:00,4946.662,4947.887,4944.892,4945.867,150,160,0
2026-05-01 05:35:00,4945.748,4945.904,4942.822,4943.708,149,160,0
2026-05-01 05:40:00,4943.943,4946.289,4943.404,4946.153,148,160,0
2026-05-01 05:45:00,4946.076,4948.275,4946.076,4946.755,150,160,0
2026-05-01 05:50:00,4946.968,4948.86,4946.543,4948.813,150,160,0
2026-05-01 05:55:00,4948.861,4949.346,4947.869,4948.447,150,160,0
2026-05-01 06:00:00,4948.506,4948.894,4946.752,4948.339,149,160,0
2026-05-01 06:05:00,4948.075,4950.892,4947.895,4950.112,149,160,0
2026-05-01 06:10:00,4950.239,4953.114,4949.936,4952.758,147,160,0
2026-05-01 06:15:00,4952.84,4954.451,4951.791,4953.309,148,160,0
2026-05-01 06:20:00,4953.369,4954.445,4952.053,4953.97,150,160,0
2026-05-01 06:25:00,4954.078,4955.35,4953.319,4954.769,149,160,0
2026-05-01 06:30:00,4954.597,4954.83,4953.113,4954.243,150,160,0
2026-05-01 06:35:00,4954.042,4955.236,4952.398,4952.565,150,160,0
2026-05-01 06:40:00,4952.756,4953.079,4950.688,4951.396,150,160,0
2026-05-01 06:45:00,4951.47,4952.857,4951.145,4952.022,149,160,0
2026-05-01 06:50:00,4952.103,4952.254,4949.598,4950.943,150,160,0
2026-05-01 06:55:00,4950.789,4951.236,4948.816,4949.244,150,160,0
2026-05-01 07:00:00,4949.313,4950.842,4948.76,4949.71,149,160,0
2026-05-01 07:05:00,4949.782,4950.522,4948.557,4948.94,150,160,0
2026-05-01 07:10:00,4948.934,4949.245,4947.62,4947.792,147,160,0
2026-05-01 07:15:00,4947.785,4948.465,4945.569,4947.948,149,160,0
2026-05-01 07:20:00,4947.936,4947.966,4945.813,4946.588,148,160,0
2026-05-01 07:25:00,4946.74,4946.918,4944.293,4945.033,149,160,0
2026-05-01 07:30:00,4945.066,4945.458,4942.633,4942.635,150,160,0
2026-05-01 07:35:00,4942.699,4943.279,4941.487,4942.769,150,160,0
2026-05-01 07:40:00,4942.805,4943.438,4941.549,4941.814,150,160,0
2026-05-01 07:45:00,4941.852,4943.298,4941.419,4941.921,150,160,0
2026-05-01 07:50:00,4941.911,4943.635,4941.211,4943.489,150,160,0
2026-05-01 07:55:00,4943.381,4944.75,4942.809,4943.434,150,160,0
2026-05-01 08:00:00,4943.631,4943.675,4941.468,4942.27,150,160,0
2026-05-01 08:05:00,4942.358,4942.358,4938.862,4940.052,150,160,0
2026-05-01 08:10:00,4940.155,4942.641,4940.155,4941.646,150,160,0
2026-05-01 08:15:00,4941.583,4942.601,4940.627,4940.627,150,160,0
2026-05-01 08:20:00,4940.662,4941.954,4940.662,4941.35,149,160,0
2026-05-01 08:25:00,4941.195,4941.195,4939.617,4940.583,150,160,0
2026-05-01 08:30:00,4940.492,4943.34,4940.382,4941.924,150,160,0
2026-05-01 08:35:00,4941.829,4943.974,4941.515,4943.475,150,160,0
2026-05-01 08:40:00,4943.494,4944.3,4942.118,4943.666,150,160,0
2026-05-01 08:45:00,4943.834,4943.91,4942.55,4942.55,149,160,0
2026-05-01 08:50:00,4942.575,4942.84,4940.316,4940.651,150,160,0
2026-05-01 08:55:00,4940.556,4942.251,4939.333,4942.251,149,160,0
2026-05-01 09:00:00,4942.077,4946.004,4942.077,4944.931,149,160,0
2026-05-01 09:05:00,4944.815,4945.986,4944.182,4945.602,150,160,0
2026-05-01 09:10:00,4945.558,4946.089,4944.776,4946.062,150,160,0
2026-05-01 09:15:00,4946.085,4947.091,4944.316,4944.316,150,160,0
2026-05-01 09:20:00,4944.25,4945.145,4943.055,4943.055,150,160,0
2026-05-01 09:25:00,4942.968,4943.782,4941.404,4941.562,150,160,0
